No,dcode,dname,month,wasteamt
1,1033,???????,2017-10,9273.45
2,1018,???????,2017-10,3953.14
3,1046,?????????,2017-10,6536.56
4,1043,????????,2017-10,4562.05
5,1030,???????,2017-10,13190.9
6,1035,??????,2017-10,6265.85
7,1036,????????,2017-10,6486.68
8,1026,??????,2017-10,9296.14
9,1002,?????,2017-10,5203.13
10,1019,????????,2017-10,4693.45
11,1048,????????,2017-10,3286.79
12,1049,???????,2017-10,4632.61
13,1015,??????,2017-10,5207.07
14,1020,??????????,2017-10,6213.54
15,1016,??????????,2017-10,2507.14
16,1006,???????,2017-10,10538.4
17,1021,???????????,2017-10,10956.2
18,1005,??????,2017-10,9626.36
19,1031,?????????,2017-10,4324.86
20,1040,?????,2017-10,9491.53
21,1029,???????,2017-10,5192.49
22,1047,?????,2017-10,7069.26
23,1050,??????,2017-10,7226.66
24,1025,???????,2017-10,5088.45
25,1004,??????,2017-10,5159.71
26,1027,???????,2017-10,6383.77
27,1007,???????,2017-10,9273.48
28,1032,??????,2017-10,9264.9
29,1008,?????????????????,2017-10,2642.59
30,1014,?????,2017-10,5296.59
31,1009,???????,2017-10,4563.04
32,1001,??????,2017-10,6805.22
33,1022,?????????,2017-10,5257
34,1010,???????,2017-10,5797.5
35,1012,???????,2017-10,5862.79
36,1037,???????,2017-10,6551.77
37,1024,???????????,2017-10,3677.89
38,1011,?????????,2017-10,8852.44
39,1038,????????,2017-10,6657.93
40,1045,??????????,2017-10,7061.8
41,1039,?????,2017-10,8715.1
42,1034,???????,2017-10,7142.6
43,1044,????????,2017-10,3884.6
44,1013,???????????,2017-10,1784.02
45,1028,????,2017-10,5646.62
46,1042,??????,2017-10,7319.78
47,1023,???????,2017-10,5533.07
48,1003,???????,2017-10,4169.56
49,1041,???????,2017-10,5644.96
50,1017,????????,2017-10,6834.21
51,1000,?????,2017-10,18217.05
52,1033,???????,2017-11,8864.92
53,1018,???????,2017-11,3741.27
54,1046,?????????,2017-11,6020.13
55,1043,????????,2017-11,4257.13
56,1030,???????,2017-11,12824.3
57,1035,??????,2017-11,6034.12
58,1036,????????,2017-11,6140.07
59,1026,??????,2017-11,8554.03
60,1002,?????,2017-11,5172.06
61,1019,????????,2017-11,4368.31
62,1048,????????,2017-11,3153.07
63,1049,???????,2017-11,4161.68
64,1015,??????,2017-11,4860.21
65,1020,??????????,2017-11,5103.47
66,1016,??????????,2017-11,2319.97
67,1006,???????,2017-11,9990.66
68,1021,???????????,2017-11,9952.36
69,1005,??????,2017-11,8959.74
70,1031,?????????,2017-11,4057.93
71,1040,?????,2017-11,8502.87
72,1029,???????,2017-11,4854.27
73,1047,?????,2017-11,6823.96
74,1050,??????,2017-11,6643.54
75,1025,???????,2017-11,4646.63
76,1004,??????,2017-11,4703.67
77,1027,???????,2017-11,5976.05
78,1007,???????,2017-11,9269.48
79,1032,??????,2017-11,8298.3
80,1008,?????????????????,2017-11,2535.52
81,1014,?????,2017-11,5052.82
82,1009,???????,2017-11,4197.33
83,1001,??????,2017-11,6223.41
84,1022,?????????,2017-11,4860.4
85,1010,???????,2017-11,5309.72
86,1012,???????,2017-11,5431.72
87,1037,???????,2017-11,6382.53
88,1024,???????????,2017-11,3530.36
89,1011,?????????,2017-11,8443.6
90,1038,????????,2017-11,6091.23
91,1045,??????????,2017-11,6937.28
92,1039,?????,2017-11,8352.22
93,1034,???????,2017-11,6758.44
94,1044,????????,2017-11,3680.13
95,1013,???????????,2017-11,1662.08
96,1028,????,2017-11,5319.93
97,1042,??????,2017-11,6860.28
98,1023,???????,2017-11,5266.14
99,1003,???????,2017-11,3861.49
100,1041,???????,2017-11,5538.57
101,1017,????????,2017-11,6577.55
102,1000,?????,2017-11,17315.44
103,1033,???????,2017-12,8808.67
104,1018,???????,2017-12,3771.21
105,1046,?????????,2017-12,6098.24
106,1043,????????,2017-12,4452.33
107,1030,???????,2017-12,12606.3
108,1035,??????,2017-12,6134.88
109,1036,????????,2017-12,6080.85
110,1026,??????,2017-12,8421.37
111,1002,?????,2017-12,5305.81
112,1019,????????,2017-12,4386.27
113,1048,????????,2017-12,2961.29
114,1049,???????,2017-12,4226.75
115,1015,??????,2017-12,4859.64
116,1020,??????????,2017-12,4910.06
117,1016,??????????,2017-12,2249
118,1006,???????,2017-12,9963.51
119,1021,???????????,2017-12,9832.96
120,1005,??????,2017-12,8888.39
121,1031,?????????,2017-12,4056.85
122,1040,?????,2017-12,8447.18
123,1029,???????,2017-12,4804.83
124,1047,?????,2017-12,6678.06
125,1050,??????,2017-12,6550.71
126,1025,???????,2017-12,4608.15
127,1004,??????,2017-12,4474.39
128,1027,???????,2017-12,5953.66
129,1007,???????,2017-12,9341.17
130,1032,??????,2017-12,8229.77
131,1008,?????????????????,2017-12,2587.59
132,1014,?????,2017-12,5043.31
133,1009,???????,2017-12,4115.57
134,1001,??????,2017-12,5980.5
135,1022,?????????,2017-12,4669.47
136,1010,???????,2017-12,5447.61
137,1012,???????,2017-12,5446.97
138,1037,???????,2017-12,6647.38
139,1024,???????????,2017-12,3533.26
140,1011,?????????,2017-12,8289.48
141,1038,????????,2017-12,6449.89
142,1045,??????????,2017-12,6933.94
143,1039,?????,2017-12,8369.47
144,1034,???????,2017-12,6648.98
145,1044,????????,2017-12,3835.02
146,1013,???????????,2017-12,1777.21
147,1028,????,2017-12,5152.63
148,1042,??????,2017-12,6752.96
149,1023,???????,2017-12,5058.98
150,1003,???????,2017-12,3841.04
151,1041,???????,2017-12,5349.55
152,1017,????????,2017-12,6580.73
153,1000,?????,2017-12,16760.77
154,1033,???????,2018-01,8952.41
155,1018,???????,2018-01,3862.31
156,1046,?????????,2018-01,6346.98
157,1043,????????,2018-01,4644.34
158,1030,???????,2018-01,12679.5
159,1035,??????,2018-01,6368.86
160,1036,????????,2018-01,6438.03
161,1026,??????,2018-01,8698.82
162,1002,?????,2018-01,5200.54
163,1019,????????,2018-01,4516.77
164,1048,????????,2018-01,3151.01
165,1049,???????,2018-01,4299.31
166,1015,??????,2018-01,5020.51
167,1020,??????????,2018-01,5030.12
168,1016,??????????,2018-01,2315.59
169,1006,???????,2018-01,10236.2
170,1021,???????????,2018-01,9962.17
171,1005,??????,2018-01,9268.81
172,1031,?????????,2018-01,4091.96
173,1040,?????,2018-01,8568.47
174,1029,???????,2018-01,4988.86
175,1047,?????,2018-01,6823.32
176,1050,??????,2018-01,6727.19
177,1025,???????,2018-01,4739.01
178,1004,??????,2018-01,4690.24
179,1027,???????,2018-01,6161.32
180,1007,???????,2018-01,9484.05
181,1032,??????,2018-01,8446.32
182,1008,?????????????????,2018-01,2592.81
183,1014,?????,2018-01,5174.72
184,1009,???????,2018-01,4402.87
185,1001,??????,2018-01,6114.44
186,1022,?????????,2018-01,4866.45
187,1010,???????,2018-01,5656.89
188,1012,???????,2018-01,5521.6
189,1037,???????,2018-01,6693.25
190,1024,???????????,2018-01,3586.63
191,1011,?????????,2018-01,8746.79
192,1038,????????,2018-01,6432.39
193,1045,??????????,2018-01,6914.36
194,1039,?????,2018-01,8563.75
195,1034,???????,2018-01,6902.59
196,1044,????????,2018-01,3668.61
197,1013,???????????,2018-01,1729.14
198,1028,????,2018-01,5022.9
199,1042,??????,2018-01,7249.38
200,1023,???????,2018-01,5300.1
201,1003,???????,2018-01,4099.72
202,1041,???????,2018-01,5578.56
203,1017,????????,2018-01,6730.2
204,1000,?????,2018-01,19893
205,1033,???????,2018-02,8583.18
206,1018,???????,2018-02,3630.11
207,1046,?????????,2018-02,5499.77
208,1043,????????,2018-02,4153.56
209,1030,???????,2018-02,11775.1
210,1035,??????,2018-02,5988.34
211,1036,????????,2018-02,5875.88
212,1026,??????,2018-02,8025.83
213,1002,?????,2018-02,4972.77
214,1019,????????,2018-02,4304.25
215,1048,????????,2018-02,3002.46
216,1049,???????,2018-02,4124.53
217,1015,??????,2018-02,4738.54
218,1020,??????????,2018-02,4783.33
219,1016,??????????,2018-02,2205.82
220,1006,???????,2018-02,9469.34
221,1021,???????????,2018-02,9489.46
222,1005,??????,2018-02,8517.92
223,1031,?????????,2018-02,3981.58
224,1040,?????,2018-02,8200.77
225,1029,???????,2018-02,4683.62
226,1047,?????,2018-02,6483.23
227,1050,??????,2018-02,6465.61
228,1025,???????,2018-02,4477.7
229,1004,??????,2018-02,4534.55
230,1027,???????,2018-02,5879.25
231,1007,???????,2018-02,8761.87
232,1032,??????,2018-02,7921.35
233,1008,?????????????????,2018-02,2493.67
234,1014,?????,2018-02,4827.6
235,1009,???????,2018-02,4040.16
236,1001,??????,2018-02,5744.13
237,1022,?????????,2018-02,4586.15
238,1010,???????,2018-02,5170.24
239,1012,???????,2018-02,5342.04
240,1037,???????,2018-02,6164.82
241,1024,???????????,2018-02,3394.47
242,1011,?????????,2018-02,8091
243,1038,????????,2018-02,6043.82
244,1045,??????????,2018-02,6512.04
245,1039,?????,2018-02,7935.29
246,1034,???????,2018-02,6354.12
247,1044,????????,2018-02,3461.1
248,1013,???????????,2018-02,1723.51
249,1028,????,2018-02,4679.32
250,1042,??????,2018-02,6555.19
251,1023,???????,2018-02,5024.72
252,1003,???????,2018-02,3662.99
253,1041,???????,2018-02,5359.58
254,1017,????????,2018-02,6339.47
255,1000,?????,2018-02,17504.83
256,1033,???????,2018-03,9397.08
257,1018,???????,2018-03,3967.8
258,1046,?????????,2018-03,6562.01
259,1043,????????,2018-03,4600.69
260,1030,???????,2018-03,13805.8
261,1035,??????,2018-03,6527.37
262,1036,????????,2018-03,6741.4
263,1026,??????,2018-03,9174.8
264,1002,?????,2018-03,5439.65
265,1019,????????,2018-03,4726.93
266,1048,????????,2018-03,3505.1
267,1049,???????,2018-03,4556.64
268,1015,??????,2018-03,5143.32
269,1020,??????????,2018-03,5349.82
270,1016,??????????,2018-03,2496.55
271,1006,???????,2018-03,10744.5
272,1021,???????????,2018-03,10376.9
273,1005,??????,2018-03,9668.08
274,1031,?????????,2018-03,4305.64
275,1040,?????,2018-03,8911.03
276,1029,???????,2018-03,5035.64
277,1047,?????,2018-03,7145.44
278,1050,??????,2018-03,7022.24
279,1025,???????,2018-03,4869.6
280,1004,??????,2018-03,4948.09
281,1027,???????,2018-03,6441.07
282,1007,???????,2018-03,9530.62
283,1032,??????,2018-03,8823.81
284,1008,?????????????????,2018-03,2591.2
285,1014,?????,2018-03,5492.27
286,1009,???????,2018-03,4450.39
287,1001,??????,2018-03,5996.31
288,1022,?????????,2018-03,5248.31
289,1010,???????,2018-03,5787.99
290,1012,???????,2018-03,5747.1
291,1037,???????,2018-03,6813.36
292,1024,???????????,2018-03,3702.9
293,1011,?????????,2018-03,9146.79
294,1038,????????,2018-03,6643.2
295,1045,??????????,2018-03,7331.87
296,1039,?????,2018-03,9015.92
297,1034,???????,2018-03,7083.1
298,1044,????????,2018-03,3929.24
299,1013,???????????,2018-03,1711.08
300,1028,????,2018-03,5009.03
301,1042,??????,2018-03,7441.21
302,1023,???????,2018-03,5684.9
303,1003,???????,2018-03,4135.21
304,1041,???????,2018-03,6034.83
305,1017,????????,2018-03,7240.8
306,1000,?????,2018-03,17906.48
307,1033,???????,2018-04,8712.35
308,1018,???????,2018-04,3725.06
309,1046,?????????,2018-04,5635.02
310,1043,????????,2018-04,4237.22
311,1030,???????,2018-04,12403.8
312,1035,??????,2018-04,6200.64
313,1036,????????,2018-04,6297.95
314,1026,??????,2018-04,8569.7
315,1002,?????,2018-04,4859.39
316,1019,????????,2018-04,4524.61
317,1048,????????,2018-04,3122.74
318,1049,???????,2018-04,4327.12
319,1015,??????,2018-04,4911.99
320,1020,??????????,2018-04,4998.14
321,1016,??????????,2018-04,2297.14
322,1006,???????,2018-04,9989.96
323,1021,???????????,2018-04,9947.26
324,1005,??????,2018-04,8955.44
325,1031,?????????,2018-04,4047.56
326,1040,?????,2018-04,8297.84
327,1029,???????,2018-04,4861.2
328,1047,?????,2018-04,6600.62
329,1050,??????,2018-04,6597.85
330,1025,???????,2018-04,4704.84
331,1004,??????,2018-04,4352.92
332,1027,???????,2018-04,5968.32
333,1007,???????,2018-04,8985.14
334,1032,??????,2018-04,8472.81
335,1008,?????????????????,2018-04,2352.31
336,1014,?????,2018-04,5042.16
337,1009,???????,2018-04,4252.77
338,1001,??????,2018-04,5853.09
339,1022,?????????,2018-04,4683.46
340,1010,???????,2018-04,5546.15
341,1012,???????,2018-04,5429.96
342,1037,???????,2018-04,6552.85
343,1024,???????????,2018-04,3619.44
344,1011,?????????,2018-04,8552.31
345,1038,????????,2018-04,6291.32
346,1045,??????????,2018-04,6805.94
347,1039,?????,2018-04,8399.55
348,1034,???????,2018-04,6920.39
349,1044,????????,2018-04,3751.7
350,1013,???????????,2018-04,1548.76
351,1028,????,2018-04,4735.55
352,1042,??????,2018-04,6997.78
353,1023,???????,2018-04,4998.62
354,1003,???????,2018-04,4023.82
355,1041,???????,2018-04,5452.7
356,1017,????????,2018-04,6778.21
357,1000,?????,2018-04,15837.7
358,1033,???????,2018-05,9585.28
359,1018,???????,2018-05,4045.37
360,1046,?????????,2018-05,6388.36
361,1043,????????,2018-05,5109.66
362,1030,???????,2018-05,14280.4
363,1035,??????,2018-05,7029.14
364,1036,????????,2018-05,7098.63
365,1026,??????,2018-05,9490.48
366,1002,?????,2018-05,5649.7
367,1019,????????,2018-05,5099.72
368,1048,????????,2018-05,3669.53
369,1049,???????,2018-05,4701.27
370,1015,??????,2018-05,5277.54
371,1020,??????????,2018-05,5567.5
372,1016,??????????,2018-05,2578.43
373,1006,???????,2018-05,11089.7
374,1021,???????????,2018-05,11028.5
375,1005,??????,2018-05,10302.5
376,1031,?????????,2018-05,4449.02
377,1040,?????,2018-05,9489.45
378,1029,???????,2018-05,5603.5
379,1047,?????,2018-05,7384.71
380,1050,??????,2018-05,7399.51
381,1025,???????,2018-05,5200.05
382,1004,??????,2018-05,4897.93
383,1027,???????,2018-05,6839.91
384,1007,???????,2018-05,9570.61
385,1032,??????,2018-05,9779.03
386,1008,?????????????????,2018-05,2600.79
387,1014,?????,2018-05,5678.83
388,1009,???????,2018-05,4802.6
389,1001,??????,2018-05,6193.28
390,1022,?????????,2018-05,5231.48
391,1010,???????,2018-05,6321.72
392,1012,???????,2018-05,6286.38
393,1037,???????,2018-05,7166.17
394,1024,???????????,2018-05,3890.15
395,1011,?????????,2018-05,9977.51
396,1038,????????,2018-05,7015.59
397,1045,??????????,2018-05,7595.19
398,1039,?????,2018-05,9048.93
399,1034,???????,2018-05,7775.62
400,1044,????????,2018-05,4200.5
401,1013,???????????,2018-05,1705.14
402,1028,????,2018-05,5267.05
403,1042,??????,2018-05,8052.39
404,1023,???????,2018-05,5698.06
405,1003,???????,2018-05,4572.32
406,1041,???????,2018-05,6223.68
407,1017,????????,2018-05,7294.57
408,1000,?????,2018-05,19220.53
409,1033,???????,2018-06,9290.67
410,1018,???????,2018-06,3797.35
411,1046,?????????,2018-06,6258.45
412,1043,????????,2018-06,4733.23
413,1030,???????,2018-06,13604.8
414,1035,??????,2018-06,6733.89
415,1036,????????,2018-06,6542.69
416,1026,??????,2018-06,9011.95
417,1002,?????,2018-06,5311.6
418,1019,????????,2018-06,4557.22
419,1048,????????,2018-06,3391.67
420,1049,???????,2018-06,4304.1
421,1015,??????,2018-06,4972.64
422,1020,??????????,2018-06,5167.26
423,1016,??????????,2018-06,2430.94
424,1006,???????,2018-06,10738.1
425,1021,???????????,2018-06,10484.6
426,1005,??????,2018-06,9622.26
427,1031,?????????,2018-06,4247.16
428,1040,?????,2018-06,8857.47
429,1029,???????,2018-06,5091.98
430,1047,?????,2018-06,7153.92
431,1050,??????,2018-06,7033.23
432,1025,???????,2018-06,4804.5
433,1004,??????,2018-06,4851.46
434,1027,???????,2018-06,6334.08
435,1007,???????,2018-06,9156.05
436,1032,??????,2018-06,9609.78
437,1008,?????????????????,2018-06,2502.78
438,1014,?????,2018-06,5508.47
439,1009,???????,2018-06,4559.81
440,1001,??????,2018-06,6010.62
441,1022,?????????,2018-06,4998.55
442,1010,???????,2018-06,6058.66
443,1012,???????,2018-06,5917.59
444,1037,???????,2018-06,6945.94
445,1024,???????????,2018-06,3651.39
446,1011,?????????,2018-06,9458.37
447,1038,????????,2018-06,6965.01
448,1045,??????????,2018-06,7287.36
449,1039,?????,2018-06,9148.34
450,1034,???????,2018-06,7582.82
451,1044,????????,2018-06,3905.95
452,1013,???????????,2018-06,1621.48
453,1028,????,2018-06,5027.43
454,1042,??????,2018-06,7471.77
455,1023,???????,2018-06,5379.47
456,1003,???????,2018-06,4416.93
457,1041,???????,2018-06,5770.65
458,1017,????????,2018-06,7105.93
459,1000,?????,2018-06,17133.26
460,1033,???????,2018-07,9346.7
461,1018,???????,2018-07,3722.18
462,1046,?????????,2018-07,5821.24
463,1043,????????,2018-07,4637.76
464,1030,???????,2018-07,13543.3
465,1035,??????,2018-07,6498.68
466,1036,????????,2018-07,6827.16
467,1026,??????,2018-07,8962.59
468,1002,?????,2018-07,5080.3
469,1019,????????,2018-07,4513.84
470,1048,????????,2018-07,3379.47
471,1049,???????,2018-07,4187.84
472,1015,??????,2018-07,5165.11
473,1020,??????????,2018-07,5132.21
474,1016,??????????,2018-07,2488.32
475,1006,???????,2018-07,10667.3
476,1021,???????????,2018-07,10173.4
477,1005,??????,2018-07,9910.42
478,1031,?????????,2018-07,4190.77
479,1040,?????,2018-07,8599.92
480,1029,???????,2018-07,5067.82
481,1047,?????,2018-07,6842.68
482,1050,??????,2018-07,6890.97
483,1025,???????,2018-07,4678.53
484,1004,??????,2018-07,4683.8
485,1027,???????,2018-07,6312.35
486,1007,???????,2018-07,9416.43
487,1032,??????,2018-07,9762.69
488,1008,?????????????????,2018-07,2488.47
489,1014,?????,2018-07,5552.65
490,1009,???????,2018-07,4560.86
491,1001,??????,2018-07,6004.04
492,1022,?????????,2018-07,4978.25
493,1010,???????,2018-07,6091.83
494,1012,???????,2018-07,5767.81
495,1037,???????,2018-07,7092.56
496,1024,???????????,2018-07,3706.98
497,1011,?????????,2018-07,9648.36
498,1038,????????,2018-07,6870.24
499,1045,??????????,2018-07,7138.37
500,1039,?????,2018-07,9293.35
501,1034,???????,2018-07,7578.08
502,1044,????????,2018-07,3999.3
503,1013,???????????,2018-07,1650.86
504,1028,????,2018-07,5004.02
505,1042,??????,2018-07,7643.35
506,1023,???????,2018-07,5332.05
507,1003,???????,2018-07,4529.43
508,1041,???????,2018-07,5651.8
509,1017,????????,2018-07,7130.4
510,1000,?????,2018-07,17591.82
511,1033,???????,2018-08,9629.9
512,1018,???????,2018-08,3868.45
513,1046,?????????,2018-08,6048.6
514,1043,????????,2018-08,4886.96
515,1030,???????,2018-08,13763.9
516,1035,??????,2018-08,6830.38
517,1036,????????,2018-08,6847.77
518,1026,??????,2018-08,9327.31
519,1002,?????,2018-08,5351.61
520,1019,????????,2018-08,4641.88
521,1048,????????,2018-08,3471.81
522,1049,???????,2018-08,4228.74
523,1015,??????,2018-08,5130.82
524,1020,??????????,2018-08,5355.15
525,1016,??????????,2018-08,2443.14
526,1006,???????,2018-08,11236.2
527,1021,???????????,2018-08,10584.3
528,1005,??????,2018-08,9886.74
529,1031,?????????,2018-08,4360.87
530,1040,?????,2018-08,8992.11
531,1029,???????,2018-08,5325.65
532,1047,?????,2018-08,6890.88
533,1050,??????,2018-08,7042.18
534,1025,???????,2018-08,4957.82
535,1004,??????,2018-08,4906.34
536,1027,???????,2018-08,6368.43
537,1007,???????,2018-08,9881.88
538,1032,??????,2018-08,9761.35
539,1008,?????????????????,2018-08,2538.71
540,1014,?????,2018-08,5603.85
541,1009,???????,2018-08,4672.71
542,1001,??????,2018-08,6102.13
543,1022,?????????,2018-08,5192.11
544,1010,???????,2018-08,6181.98
545,1012,???????,2018-08,5908.32
546,1037,???????,2018-08,7168.87
547,1024,???????????,2018-08,3768.68
548,1011,?????????,2018-08,9875.36
549,1038,????????,2018-08,7051.5
550,1045,??????????,2018-08,7374.49
551,1039,?????,2018-08,9531.48
552,1034,???????,2018-08,7587.66
553,1044,????????,2018-08,4142.35
554,1013,???????????,2018-08,1745.57
555,1028,????,2018-08,5219.52
556,1042,??????,2018-08,7730.67
557,1023,???????,2018-08,5631.77
558,1003,???????,2018-08,4535.39
559,1041,???????,2018-08,5755.89
560,1017,????????,2018-08,7256.16
561,1000,?????,2018-08,18919.44
562,1033,???????,2018-09,9213.72
563,1018,???????,2018-09,3534.99
564,1046,?????????,2018-09,5570.11
565,1043,????????,2018-09,4657.03
566,1030,???????,2018-09,13194.2
567,1035,??????,2018-09,6077.26
568,1036,????????,2018-09,6458.73
569,1026,??????,2018-09,8830.82
570,1002,?????,2018-09,4875.39
571,1019,????????,2018-09,4212.41
572,1048,????????,2018-09,3447.39
573,1049,???????,2018-09,3908.85
574,1015,??????,2018-09,4626.99
575,1020,??????????,2018-09,5067.47
576,1016,??????????,2018-09,2426.53
577,1006,???????,2018-09,10417.2
578,1021,???????????,2018-09,9730.34
579,1005,??????,2018-09,9348.17
580,1031,?????????,2018-09,3928
581,1040,?????,2018-09,8220.52
582,1029,???????,2018-09,4859.69
583,1047,?????,2018-09,6460.68
584,1050,??????,2018-09,6412.67
585,1025,???????,2018-09,4489.09
586,1004,??????,2018-09,4778.97
587,1027,???????,2018-09,6225.61
588,1007,???????,2018-09,9183.87
589,1032,??????,2018-09,9033.04
590,1008,?????????????????,2018-09,2311.92
591,1014,?????,2018-09,5548.08
592,1009,???????,2018-09,4432.04
593,1001,??????,2018-09,5529.36
594,1022,?????????,2018-09,4886.23
595,1010,???????,2018-09,5853.88
596,1012,???????,2018-09,5344.14
597,1037,???????,2018-09,6667.39
598,1024,???????????,2018-09,3344.35
599,1011,?????????,2018-09,9053.66
600,1038,????????,2018-09,6918.61
601,1045,??????????,2018-09,7150.08
602,1039,?????,2018-09,9005.46
603,1034,???????,2018-09,7040.22
604,1044,????????,2018-09,3860
605,1013,???????????,2018-09,1503.75
606,1028,????,2018-09,4719.6
607,1042,??????,2018-09,7229.36
608,1023,???????,2018-09,5362.1
609,1003,???????,2018-09,4216.86
610,1041,???????,2018-09,5485.5
611,1017,????????,2018-09,7050.1
612,1000,?????,2018-09,18327.36
